YEAR,QUARTER,D_DISQ1,D_DISQ2,D_DISQ3,D_DISQ4,M_DISQ1,M_DISQ2,M_DISQ3,M_DISQ4
1989,3,0.30780587677151916,0.5042166445918995,0.42312784215119575,0.5389483127997804,0.2860989192218921,0.3709165430984882,0.453513165751619,0.5130367039825546
1989,4,0.1711236451975708,0.24585531921970352,0.29177029796809134,0.38350512371363166,0.12090626844685425,0.1504265480543472,0.18189935265684326,0.20472399441298705
1990,1,0.1342584848096767,0.5790840581321203,0.23375644953128932,0.2666834252972249,0.22276053643148902,0.273825941335473,0.3086974759271558,0.35315769246711975
1990,2,0.1750818630149432,0.2337556280433732,0.3075139026633947,0.2484319924539701,0.07998335160300556,0.11496306658755973,0.2333156448733889,0.38228227945362536
1990,3,0.13558787278493795,0.3294809753329555,0.5454394003974836,0.6469589848027274,0.1962026610088474,0.20527862627737414,0.2006057214222104,0.3036450672258761
1990,4,0.16307813540118574,0.28962362716578305,0.3066796753804198,0.33725754796267726,0.18188094736823865,0.22243794244286605,0.3041490320099187,0.3738869114472847
1991,1,0.2194984791319589,0.2992828627535262,0.31165161214450016,0.3177914341808789,0.21600678206803028,0.20243781011622178,0.24278864384855184,0.25959291082822705
1991,2,0.1466011545227379,0.2892297969349451,0.36608751724445976,0.3411027167378974,0.19492052647137617,0.22141327814685174,0.25408599766846485,0.3029780642028831
1991,3,0.18399212585729127,0.2652047172095692,0.3477885624765769,0.40110359733102147,0.1962174087768616,0.22365486843943494,0.2591667450623436,0.33720019526628964
1991,4,0.20533310938598573,0.3101350293811262,0.3109370107580482,0.33375245807570164,0.2083865133645499,0.2293485980727868,0.23767128908330704,0.29486655854087473
1992,1,0.1534457175835695,0.2699715854712824,0.31804575356915404,0.39025433495065226,0.3371840021863175,0.3137126458032864,0.29992021524538354,0.3119522123171747
1992,2,0.1755388760064048,0.2124394637734993,0.3306637398567315,0.4052892413538015,0.1433248549561515,0.16770340950270712,0.19159153618996744,0.2836324982848488
1992,3,0.12125498638283588,0.25113066167030396,0.30077412787372204,0.3766522015156264,0.2160956271159329,0.220125389119038,0.24950502039646216,0.289145436928875
1992,4,0.12624410245865933,0.22511349426493704,0.26724269498543324,0.3182361916224713,0.3201423534380178,0.2792804750437737,0.27008103539755185,0.3208781098645344
1993,1,0.1265247026911037,0.21630662223143823,0.28186965410789655,0.30910437240510513,0.16820343076344962,0.1806617204418654,0.2227403240501952,0.2486974652209164
1993,2,0.21067144678618543,0.2751347145520548,0.3448457269019374,0.3510110069493468,0.13083460485320475,0.1423697417668686,0.2140600103675453,0.2836246371193217
1993,3,0.12988272232367806,0.16297353179539512,0.22493206923534764,0.34629034104361445,0.06527625910571243,0.09777452249593901,0.1633024215085409,0.2503978310519184
1993,4,0.09656827417656802,0.17243151252448174,0.22372408969225982,0.30149607245346827,0.06920499096487488,0.09558696888659331,0.141603586014505,0.19616665258660917
1994,1,0.1270749031965784,0.14024378415156005,0.16863630653489142,0.26849486177432463,0.10118588608525203,0.11006723945336734,0.12677417113367304,0.1542175993033503
1994,2,0.1865510093043956,0.30117174259611557,0.3658383858925925,0.44929758630187994,0.2832017294416631,0.2818658280455986,0.3114356602482466,0.3587224124752839
1994,3,0.1646946958211605,0.31886304443925584,0.42917480183691836,0.515137041148537,0.15021033811077317,0.16727726089806097,0.23817785907642755,0.30999181349637234
1994,4,0.22975296595941086,0.3847904575392948,0.4814842739648115,0.5809942692682558,0.23270946225368666,0.2174848737992192,0.2511510707889079,0.3361165408699714
1995,1,0.19610842769689826,0.32068627800917343,0.4793861006492772,0.5800907569824327,0.16835201106056877,0.1564388779776303,0.18680304251452928,0.3099766871626057
1995,2,0.1536178584160133,0.30622907447212344,0.4205314031658863,0.5183945493682459,0.15258756137709234,0.19353806008671476,0.2978452078098965,0.37911569992046523
1995,3,0.13091436811652454,0.24701203338178254,0.35790404574009094,0.39611474560020116,0.13306909714637846,0.15870285027462883,0.2200480182208729,0.33801704958412343
1995,4,0.17559886684776702,0.24124866510017795,0.26043896965852426,0.29900802379559827,0.13127827404054082,0.15653714426959275,0.19853217537706758,0.25792008683561374
1996,1,0.13748910676987525,0.2089054653376159,0.29938970348364413,0.3895381414566807,0.14532875443080842,0.16909240168513684,0.24486426517017099,0.32087583383424567
1996,2,0.10319225547344506,0.22616875704188907,0.2866927099701433,0.3318218955515478,0.07933118185837307,0.12069526877712047,0.18399911845007508,0.2613020439624189
1996,3,0.12016999234847482,0.2291952052316505,0.3034559022576524,0.36456369588811655,0.06952336523379332,0.09873921650698107,0.1781259132185709,0.2625629655484115
1996,4,0.13654929534614776,0.24378499274775486,0.240033914329962,0.2528058731864258,0.08214049953439374,0.09858733043233744,0.1511184382307994,0.22416212763223056
1997,1,0.09006338009699197,0.144243388407287,0.18812123739824563,0.23742282240257528,0.09336114677393553,0.13010193767018574,0.1969626922868704,0.27439052565731087
1997,2,0.18470294265808854,0.18332189294035378,0.21676082806218677,0.2688836631804799,0.12497402960333677,0.13535442166667336,0.18427866897152784,0.28454035382870724
1997,3,0.12753577376252537,0.1962807635116636,0.26385811431687356,0.35113373534592407,0.08182666307947371,0.09159115159983067,0.1441463547231058,0.21481541632464826
1997,4,0.1233005857601758,0.2183297435663043,0.3426675363038131,0.33980047364076127,0.11526812644610925,0.11039636666308657,0.14717531649529636,0.1841966077495368
1998,1,0.10932366411698025,0.15384938852831567,0.2065309567106678,0.26756117087321024,0.08787193905440334,0.11356400038344626,0.1729313711050953,0.28413856844028607
1998,2,0.1540249116820678,0.24397132313082348,0.28526505137061553,0.28599106647014405,0.06951951216347414,0.07636107012174398,0.14685656107411682,0.21793285753947278
1998,3,0.1181848963045985,0.20665281864876597,0.19641735520934095,0.25353406033616316,0.0810487981971618,0.11035344531511228,0.1656317360803765,0.2609576983435066
1998,4,0.13474475664100352,0.2388695404546646,0.28656676149800697,0.2827579731525249,0.2882713668895037,0.296000224767618,0.3009143108860434,0.35090719234857193
1999,1,0.08158263974484992,0.14579822637687614,0.25637060333831985,0.31403737912622215,0.07208300679554493,0.09334912433414005,0.14534090098815078,0.2730031085203437
1999,2,0.09685347116997114,0.13374512003822217,0.20699621698009002,0.24314575892374027,0.08762779543091019,0.08743749174007706,0.1339726240057859,0.2028653248725569
1999,3,0.14991888782337195,0.23105011846488946,0.30161824320405783,0.30823456251875114,0.15024624037846696,0.1534873976233211,0.18178564539301248,0.1935234356130174
1999,4,0.17078660699510056,0.21612398999162355,0.27753853308290266,0.3032408393629932,0.20001541518583543,0.21288842557631765,0.2348265667296315,0.2818803017301069
2000,1,0.1388960474552641,0.2201951998310976,0.21402651106789308,0.24930269263414967,0.12307970375553301,0.12858288796424447,0.1598975153781798,0.18856132290251973
2000,2,0.13299829923112344,0.17406039435957266,0.20162010777062792,0.3092039395875216,0.13532355069722382,0.14652756538927925,0.1555175386930691,0.18816747600030853
2000,3,0.1695945590129488,0.25050558698393877,0.279560025712092,0.33981085401203603,0.13051353167150545,0.1480299074873026,0.17795491163302515,0.1888658025757471
2000,4,0.186385648778935,0.26452687822425625,0.29675836268638617,0.3581286793877722,0.17004603775102978,0.18005141991269438,0.2292302210483634,0.268148052760838
2001,1,0.203171847653519,0.29802968987669237,0.3574761576913693,0.41189858062460727,0.2970803419111779,0.2933589075207896,0.27213505209887506,0.30712804496389834
2001,2,0.2419115267737365,0.3709625889841835,0.48665269572127,0.6146163223633031,0.282586384644666,0.275241916633717,0.28973966855411876,0.2993492392218573
2001,3,0.10545548183240445,0.20370933340623779,0.3034691690983275,0.36245062280809004,0.1648915710495009,0.18634410067364202,0.21952438833537893,0.25963550912722966
2001,4,0.17307365916459952,0.28599948397511993,0.4982785522743612,0.7485251778739107,0.2902091938307572,0.2998431818250136,0.314504725619385,0.32777739981661047
2002,1,0.1619391683312083,0.40062682055577137,0.5473326224969446,0.6989713097347305,0.15747200349248175,0.21936064593790167,0.28004427680343347,0.35155622525948643
2002,2,0.2669190517051614,0.4313616802273801,0.3891507954650001,0.4698457923218781,0.18409079545041218,0.20126584420671925,0.22547525051175,0.2752197326227932
2002,3,0.1511368526190744,0.28641479829182287,0.34729213796924935,0.5028237062956796,0.10053358972610266,0.13433824362986568,0.18341555490862194,0.20976231351755098
2002,4,0.18467629762286097,0.31923370593076567,0.4439777921600098,0.6888425027389654,0.14990719869076585,0.1529873425604056,0.17562621261648054,0.23175177494789487
2003,1,0.0792863545419629,0.14852266073907266,0.2989237518066215,0.4362920468193044,0.10914280616945943,0.14228894697559508,0.16753775217933098,0.19671963525548208
2003,2,0.16432181226836712,0.3137875594894755,0.4664513591961654,0.5874224093172705,0.14706874819362578,0.16958910285410814,0.17918370643040626,0.20860571033647343
2003,3,0.11671558506687904,0.2545355330344418,0.3900619949123149,0.5716011523769566,0.08318332884061831,0.12841026207984435,0.15426244822906984,0.20786900777776737
2003,4,0.22880125843836308,0.4266520064207314,0.5709494106964585,0.7343587017546799,0.07586776473872985,0.1353014012248073,0.17003981588973827,0.18681290244446935
2004,1,0.25194948181483046,0.41149440706230295,0.48789566988114696,0.5118732838625052,0.08512263207192122,0.12502121847258457,0.1911905153456446,0.18027282222811336
2004,2,0.23872995824786072,0.39404512247190593,0.42607218696499083,0.5418858516199883,0.14402182641826164,0.15171488684095485,0.16639199305503843,0.20664586484375824
2004,3,0.1342118976259042,0.30202079676061305,0.3741138207601576,0.4711486194627025,0.1557181444326854,0.1602443239069467,0.19296405170256473,0.25871956664547713
2004,4,0.2561129498430162,0.380649144124704,0.47410927058302405,0.5545895263677623,0.09761889328035234,0.1145259952172526,0.16227846487886982,0.2350966720773304
2005,1,0.08714061745999731,0.16722396498519207,0.24084946255180795,0.32718565776441444,0.07346315021774466,0.07741987813228228,0.1342369754565777,0.22829336672645595
2005,2,0.08923210850909809,0.21849533090196838,0.32207943742402806,0.35507861092296145,0.1408929937481196,0.17574264829540556,0.21618231497602505,0.27792504263794443
2005,3,0.16550553478093918,0.24784860808068343,0.3932857701362242,0.44361508491823853,0.27646203558629967,0.1365173640146817,0.2953468403855516,0.3771015789272659
2005,4,0.11443377753061253,0.21208844425832346,0.28472150432871224,0.3596479825833319,0.12110256671896687,0.10599378523244614,0.13107062773147243,0.19223082888068796
2006,1,0.1331740424235881,0.22081548364128079,0.31425309286365716,0.35163117152662476,0.1496808205023339,0.15145083074107865,0.26490020884437127,0.3883940384128288
2006,2,0.14408393158964905,0.19022300393320712,0.26370387496541653,0.3356622905801337,0.08490827667345568,0.08906763068272155,0.14613274218697664,0.2140923268183799
2006,3,0.2900727299968294,0.44165901844385325,0.439533407027278,0.42640439953836284,0.1094849001032925,0.149395490005662,0.20430146510308983,0.274039042674112
2006,4,0.10401492963439868,0.20768014504600482,0.2900965347296905,0.36429925349337344,0.09755139740445284,0.1101741570851606,0.12920117496185074,0.1700500364497822
2007,1,0.09904173653405678,0.18960572165299372,0.27528895245755636,0.36724537746899394,0.11469101167194262,0.11459872306265298,0.1373893083460454,0.18301154219950316
2007,2,0.15796495153324117,0.2558996215081201,0.3260927554858907,0.365757741230433,0.10217883459602424,0.12016656650851805,0.16439919750061632,0.17585304531451812
2007,3,0.12366471349733396,0.267089402335614,0.32236324197831445,0.30655572976228723,0.09144973928158265,0.13208089173474158,0.17098222627335657,0.2072909574482396
2007,4,0.20168458121709726,0.25251654744752366,0.28637125213297804,0.35545940914335156,0.2787483791187976,0.24157293708887861,0.2136614888427845,0.2219578722699827
2008,1,0.31974370873038305,0.388132153195236,0.4271129209846103,0.5233403098709069,0.3255531976545997,0.3231997597792759,0.3102481780723207,0.3085315596943629
2008,2,0.26911256490566055,0.33582809284439574,0.4556853894405912,0.5635308303994451,0.2601263379527532,0.24777835675483317,0.2672665688702253,0.30157579760379205
2008,3,0.09857983633472897,0.23403884221267046,0.4320674023326889,0.5891761988085552,0.18955245457918823,0.21841377419872546,0.2878157471732254,0.3331127450154127
2008,4,0.20337719050889386,0.27481861543057473,0.36621995840563165,0.533954030831769,0.2221357600673655,0.22862612688866604,0.2687525761551153,0.34223487823634
2009,1,0.13160768498985598,0.18009478349551641,0.22766953161943868,0.26461980438381866,0.18661287773249796,0.1906778502874703,0.20664584871893313,0.26946165908140607
2009,2,0.09951978284389788,0.16558641469827587,0.2551211038970178,0.4014353648013228,0.07489737299361318,0.12771395565756904,0.1696865781000421,0.28174443689703965
2009,3,0.07442856892444112,0.14588108706694394,0.24624883304303807,0.4132880365914299,0.06575383406686051,0.11168311284562417,0.1783787402683451,0.27417341807456347
2009,4,0.0803934617790399,0.1975993446365323,0.3578496551163691,0.539148395812162,0.07285000647599965,0.10769463226324152,0.18072461845403495,0.26515375155729215
2010,1,0.0874950666661253,0.33836319467227816,0.5647257255736519,0.6988495750342406,0.08149697042799983,0.15512909393801597,0.2598775706728728,0.37095839068991604
2010,2,0.15804020969780766,0.3131115385960025,0.45126023372292995,0.6276434674869931,0.06913541573918607,0.12422910564225527,0.21590767437512834,0.3143773396645299
2010,3,0.11788573716814356,0.28058639877243013,0.4245802399323236,0.4755104085447339,0.06133182838081215,0.09799708072984528,0.15609995222836745,0.26745428714559666
2010,4,0.22332930861542913,0.34709397177969403,0.449158764450412,0.538869181135134,0.05292741676712268,0.14203961347748492,0.2344920733684821,0.3417083398945233
2011,1,0.11021761133958533,0.23204162140144405,0.41038631683150395,0.5761363443736167,0.06462427850853718,0.11625372361300976,0.19665015166776673,0.28230134339853175
2011,2,0.07536329124611478,0.19421189277688772,0.2703992655107778,0.42197974969399826,0.06817813811375975,0.11492275731126349,0.21161744632524615,0.31428499614228467
2011,3,0.07945607132451372,0.16665153153704926,0.46274695320305875,0.48990051079584873,0.10913508173844001,0.15899782089433534,0.2517775396243809,0.34453762205525595
2011,4,0.08014098539527108,0.11858865488003878,0.20474891674503537,0.291126054532573,0.17121227627740157,0.20512081221637127,0.2580362028736554,0.3330598210755543
2012,1,0.10018180709591346,0.12830248783441034,0.18244305291221272,0.25634213055105043,0.12307549758092261,0.1295261439103047,0.15621907934584373,0.21736253713303355
2012,2,0.031116190103346698,0.08575850304159217,0.17410734275653225,0.271214107079828,0.038946286499950244,0.08735011389183941,0.17976077879703756,0.2810470313941259
2012,3,0.10738017908595475,0.1278028802482602,0.1711974424660821,0.259865464977322,0.13379737791282084,0.1791182965711857,0.2623947473748386,0.35211123283054324
2012,4,0.05472600916800078,0.09762768117313975,0.1432203971756932,0.1880425393091839,0.05870902665674173,0.11822499018686003,0.17536805454440413,0.2609314588278908
2013,1,0.04678357011858779,0.09551147932947696,0.14272649232274268,0.18830257872281295,0.05073252441001622,0.07981971891327443,0.1235777219747452,0.179656580582917
2013,2,0.06570453082863938,0.11341110698849273,0.12342589353636117,0.12436965071571597,0.051646350184768694,0.09707312644007637,0.11996020645550014,0.1422742188501749
2013,3,0.04554950490419191,0.08196323752936978,0.1139749054939628,0.17848285608542966,0.04295066966465101,0.0726316290010595,0.10479543232177907,0.15652530340929083
2013,4,0.05900420838356349,0.0749916050954746,0.08864630386072901,0.1396070438517384,0.06608380768485247,0.08890976968995715,0.0947235117715308,0.1383147885743823
2014,1,0.055484034842197216,0.08682521061684007,0.13454674138017003,0.19915962991552313,0.05308566991648789,0.08804286353156114,0.1323069107999293,0.1892005339075237
2014,2,0.04805918149754947,0.11220183872476718,0.17671147333542145,0.20401734379207173,0.0505986559180208,0.06895333645638611,0.11931918850044561,0.1613720822213882
2014,3,0.04448398189622289,0.08735282267563219,0.20066793771289668,0.31417188259204243,0.04777206542088936,0.07474452467806371,0.11053312177575013,0.1538641808158162
2014,4,0.06509819654660541,0.17605125095624952,0.2870844916475272,0.3553917074696012,0.03478539168024101,0.08183849215321318,0.15775734308316594,0.22029734204501844
2015,1,0.11619764528111176,0.26730453126510645,0.336557935182772,0.42320295019563825,0.040512977544882485,0.0661186596026625,0.09864565318952563,0.1361300358094217
2015,2,0.31670022330516556,0.3883556319615385,0.3640755156433555,0.3972743899192588,0.059358258834052685,0.10650598300964242,0.18431023147784584,0.27109461167703125
2015,3,0.10937072074770544,0.17657022507708736,0.1876668841404681,0.18758544930619137,0.035458220910614305,0.09513742853224218,0.1813156931447916,0.26135048327604576
2015,4,0.1270272009724193,0.14083762898514085,0.1974003310822759,0.27607010272452404,0.08494089557267748,0.105986890214786,0.18020228474038827,0.2638562201378909
2016,1,0.10723830839827451,0.18582398362461333,0.24844967989831263,0.2577131694724073,0.0715418111417621,0.11328102983843967,0.17061883859027677,0.22849810472441057
2016,2,0.15675434036904107,0.23010830195465068,0.25803525851452436,0.29374316316412563,0.14194696856290043,0.15946441766876437,0.20699838663778783,0.2607117059386237
2016,3,0.1413518836957897,0.12357916445479372,0.17776805036709387,0.2408813613693376,0.04804395330572896,0.08619969694266644,0.13856052869577234,0.21521705288065937
2016,4,0.09091847034227274,0.1288179523306313,0.1597607863178039,0.1517150409893484,0.06765946099815501,0.09074319117026497,0.16426389170935293,0.23872052643406177
2017,1,0.09096083310619742,0.10467025694680353,0.15470669171174828,0.19048477423240384,0.15553163378620197,0.17195485076072156,0.19173815611355763,0.2393633185486341
2017,2,0.0788521738350389,0.12379465400056844,0.14764349561058496,0.20192481254406905,0.0791009124504238,0.09186748274982998,0.12760595923142126,0.20522167171609526
2017,3,0.07839053231848403,0.1345513978212289,0.15827280145044872,0.22704272919731724,0.06260441905345504,0.09630595159864692,0.15782131427057455,0.22596810599003825
2017,4,0.10626410973579786,0.12098577127740716,0.13038505806639653,0.16763596617469279,0.07492383737274785,0.09174071389806265,0.13578497730915284,0.18777645620163091
2018,1,0.0881982236364508,0.125963165908622,0.18918402455078856,0.2307432745858917,0.10543072516320678,0.10724611424978425,0.12413488661362099,0.16657085050458081
2018,2,0.06985443133986269,0.16964769766956195,0.23772585302080063,0.23327406198308595,0.08285601337931756,0.089775199098323,0.11212376852148223,0.17001090480324563
2018,3,0.12887953497775137,0.19141171587627084,0.2855005938902542,0.3261096166408754,0.14886689426216126,0.14822953296014543,0.16883389561009413,0.2212777106541932
2018,4,0.07797876853007754,0.15852893721482242,0.20702752927126017,0.2322004082716516,0.1926166872223233,0.18058418151636355,0.2034119441915834,0.24595482643960942
2019,1,0.0788066791265601,0.1369809638360639,0.19032435757495997,0.22664626456685089,0.0485973737094197,0.06991216531207198,0.11353882220984592,0.17107013104360846
2019,2,0.06613860848690946,0.1286344526263044,0.19664245889608623,0.28046939870744225,0.06071310204661281,0.07860291833017158,0.14095833125122542,0.19526445133141648
2019,3,0.10864726018263991,0.1598123646418063,0.2182657870523333,0.28313923721130596,0.1355302710608648,0.14410455569576316,0.15806607656473162,0.20431912963738247
2019,4,0.08265454846902394,0.1637707134451083,0.23651296621772205,0.3048660228410937,0.11721785785887123,0.1144129722825074,0.17086129939481812,0.21717998657731988
2020,1,0.059158128685556914,0.11400897029510654,0.18810192836607506,0.2815257660657235,0.07393120080724941,0.11038223336541748,0.12335523739246491,0.1747131548745466
2020,2,0.3059828578074818,0.3830043282643863,0.4426297096965624,0.5458254379045753,0.3359709767342883,0.4146664738332694,0.4662039871425301,0.6021483981109669
2020,3,0.17902238090360395,0.3365451849351089,0.49810329762513855,0.595601901067288,0.17397052740796468,0.3024265066533984,0.3953570749684447,0.49499928060128356
2020,4,0.10250060735024082,0.14835278180031017,0.2557686471684961,0.3674483849649736,0.12054808365408719,0.16646019824024688,0.2634246709490631,0.3744119730836627
2021,1,0.07424234673006033,0.13577632245998006,0.2170563402482095,0.2702662384783257,0.08695315386320673,0.151173250971933,0.2409859318535358,0.3273163270328453
2021,2,0.099290445012856,0.1821386809878098,0.2932874673137913,0.2999057007112383,0.0936774696220254,0.17474365113350937,0.2896540927900118,0.3365691808660516
2021,3,0.061923556520591914,0.12351829684262561,0.13083169968449992,0.18557786626527206,0.08019586258788015,0.13041198005926438,0.1551171320394105,0.2138148309629363
2021,4,0.05090354844304326,0.05322624961655842,0.1419667785962952,0.24309501635632644,0.06278482470836727,0.07280069570733015,0.11232608347067474,0.17877844025496717
2022,1,0.12811422636332828,0.20661554070177338,0.33226252987755683,0.3640678130793692,0.1205367264801227,0.15285256304234723,0.19433847339111462,0.24796379452105233
2022,2,0.25932172636031803,0.3796957429592714,0.4743588981080887,0.5429053573756994,0.42953305699322286,0.3907298550941681,0.3749921496879409,0.43965791550987204
2022,3,0.22826273352508897,0.2813899056299544,0.35522214028302446,0.4008737597209321,0.22334021319277972,0.20964387088487982,0.247996477539588,0.3407561742733119
2022,4,0.44476807070507246,0.5029592081906178,0.5282390128366059,0.5353061654719411,0.4134698004909606,0.41218232902518387,0.3808535062047844,0.3768395702290532
2023,1,0.20097671937385805,0.33542567036682785,0.5203738926330258,0.6040227308816605,0.23664822484075057,0.23642483371525516,0.2782451720704028,0.34515633566197834
2023,2,0.11080066828467776,0.21000806032635935,0.3146794198699085,0.4612297538341902,0.1413940096634527,0.171983202323442,0.25401262429771404,0.3196020310688015
2023,3,0.12966444201192395,0.3016314473966839,0.4506432483964268,0.6325490327451504,0.1242661236932043,0.12532537083931405,0.18140181487054305,0.2129821884675742
2023,4,0.14207911535510184,0.3283490431724596,0.47573143026421943,0.5442321387712972,0.15093494990321085,0.19339378442551108,0.2509839723978126,0.2969245027643537
