YEAR,QUARTER,D_DISQ1,D_DISQ2,D_DISQ3,D_DISQ4,M_DISQ1,M_DISQ2,M_DISQ3,M_DISQ4
1983,1,0.38994693071858727,0.5857389780728862,0.5114384552787838,0.5598782499078174,0.39378266260250433,0.49719678203352397,0.6120992508885941,0.6688264870154874
1983,2,0.34340351644804346,0.4586610484403931,0.488366779632736,0.44847513423139496,0.24460678341667674,0.30105736033263863,0.33475732314353984,0.4415461139743974
1983,3,0.5262548914492501,0.5918037685134454,0.5608723845674929,0.6035268897662285,0.321565759610657,0.3776183573622162,0.454887314480774,0.5934182999074875
1983,4,0.39190671073850075,0.4402983698318368,0.48386438229857776,0.7172737899614514,0.2390634631716615,0.27359345036133337,0.3503181977574876,0.4795265451545179
1984,1,0.2886653420461225,0.42608116378937694,0.6366679046479399,0.5741618058849786,0.22652443365530134,0.31093696564110473,0.43377828247685973,0.609781683015929
1984,2,0.24805504387710847,0.3611170592541331,0.4979444441941297,0.5896690001634529,0.30190940291391755,0.3415477358487241,0.34659949961697056,0.4125822772128334
1984,3,0.23367792162348905,0.4289882475357005,0.5708171300333564,0.7624566863798816,0.18584273077216995,0.21890893546838358,0.29213191691181883,0.3784177014728874
1984,4,0.43160436042232153,0.5696047108136737,0.6974063794784657,0.8039698994556035,0.3472471743560991,0.3206599479127036,0.35957318753850726,0.4990632479966917
1985,1,0.3211831257850622,0.5121320479992287,0.6568697475991256,0.7154488929937398,0.5260867275939829,0.529698893287098,0.5648519664357601,0.6964127663500889
1985,2,0.4766696071633932,0.649949850956214,0.5639243534359595,0.6103141357305963,0.32619800680294675,0.33089390836149196,0.4133363177281218,0.545573758361136
1985,3,0.20669589375895484,0.43787068973979176,0.5919366202789992,0.6224859186411371,0.28130319004853926,0.3557613860513688,0.5144360713713851,0.689856539124378
1985,4,0.29458993640569664,0.42592229082315375,0.3582873739147737,0.3084734805075378,0.14978876390313536,0.22268549813152988,0.3584653666073283,0.4416336108265124
