DEL,Mean Alpha,Std Alpha,Mean f,Std f,Mean Short Rate,Std Short Rate,Mean y1,Mean y2,Mean y3,Mean y4,Mean y5,Mean y7,Mean y10,Std Y1,Std Y2,Std Y3,Std Y4,Std Y5,Std Y7,Std Y10,Mean Slope,Std Slope,Mean SigY,Std SigY,Mean HPRmSR,Std HPRmSR,Mean HPRm1,Std HPRm1,Mean SR,Std SR,Mean PD,Std PD,Mean StdR,Std StdR,Mean ExR,Std ExR,Mean ExR1,Std ExR1,Mean ExR2,Std ExR2,Mean ExR3,Std ExR3,Mean ExR4,Std ExR4,Mean ExR5,Std ExR5,Mean ExR7,Std ExR7,Mean ExR10,Std ExR10,Mean StdB1,Std StdB1,Mean StdB2,Std StdB2,Mean StdB3,Std StdB3,Mean StdB4,Std StdB4,Mean StdB5,Std StdB5,Mean StdB7,Std StdB7,Mean StdB10,Std StdB10
0.1,0.49622450820350494,0.15952956458059706,0.33335210145009314,0.1413450658630436,0.012762015001334706,0.00731125562457748,0.012769388569690971,0.01277911228255755,0.012788487123850379,0.012797503888164417,0.01280548421849801,0.012820367007353617,0.012840204021824992,0.0072991310087396405,0.007262416832810168,0.0072261331820532085,0.007190522895610873,0.007154901073108386,0.007084526822245972,0.006981141817820563,7.081545213467468e-05,0.00035299733173998067,"[-0.00106344 -0.00105751 -0.00105165 -0.00104585 -0.00104009 -0.00102879
 -0.00101227]","[0.00033269 0.0003279  0.00032324 0.00031869 0.00031426 0.00030575
 0.00029374]",7.524690733543235e-05,0.005431446379459668,6.78736437878017e-05,0.005269609967753822,0.01666478985499068,0.014134506586304371,81.48481803557212,25.128011708985547,0.05617137028807596,0.0044053629738101,0.001897874823614831,0.0006150359278785394,2.18299365852853e-05,1.6236509426803162e-05,4.336601978675828e-05,3.230812450678685e-05,6.461499937122399e-05,4.821788896775413e-05,8.558223279546768e-05,6.396761324691574e-05,0.00010627305327365673,7.955914008152833e-05,0.00014685332545963733,0.00011028273477739691,0.00020579674862669523,0.00015524527871705666,0.0010638927416922773,0.00033124116634260334,0.0021158350477392825,0.0006531881789284298,0.0031560414158595656,0.0009661644779785296,0.004184693015109663,0.0012704938740597184,0.0052019276775000945,0.0015664986540319128,0.007203085920009655,0.002134892243229346,0.01012429092330765,0.0029319126465254973
0.2,0.5035663079454127,0.15939766051370832,0.3325910804118584,0.1862902218372043,0.014250157472952133,0.013314951159766024,0.014295198721180001,0.014344644827138608,0.014389730585902646,0.014431609607639832,0.014470054756643374,0.01453802153935631,0.01462099185468135,0.013187551079997748,0.013029932997053685,0.012877509059198612,0.012731021946801667,0.012588963329408816,0.012319472830718626,0.011945149927681314,0.0003257931335039406,0.0014112886337309116,"[-0.00307787 -0.00302637 -0.00297693 -0.0029293  -0.00288347 -0.00279657
 -0.00267698]","[0.00087853 0.00085504 0.00083297 0.00081227 0.00079276 0.00075704
 0.00071036]",0.00037345050766840883,0.012677444487449148,0.0003284092996255673,0.012612588882774717,0.03348178391762832,0.037258044367440867,81.34952540655256,33.11826165994743,0.09091932936765028,0.015316086229307527,0.004144184954756615,0.0028229418987918064,0.00010240460341344855,9.187678159238757e-05,0.00020302563239943307,0.00018171735813176537,0.00030190743010401384,0.00026964898357131504,0.0003990738882451412,0.0003557661790349946,0.0004945711163625398,0.0004401802739178196,0.0006806540465292714,0.0006042045775469132,0.0009480088976025271,0.0008393325882264053,0.0030779133093261973,0.0008783667585119818,0.006052831864464843,0.00170975143855631,0.008930929225323745,0.002498439859455432,0.011717364044982047,0.0032484726911561923,0.014417542374849436,0.003963083436707934,0.019576267415219863,0.005298348896000782,0.026770156222839004,0.007102420925784455
0.3,0.5006451761153218,0.1559432244618657,0.31850894831645826,0.21665355310705708,0.016249935433945532,0.01787044340652099,0.016339860588216334,0.01643468722085659,0.01652099263087294,0.016600734890488,0.016673647992063834,0.016800197817307093,0.01695065191233612,0.017633054840512738,0.017363633976288883,0.017107583760646625,0.01686262080227336,0.016629236883948496,0.0161919456685899,0.015599143584700196,0.0006107913241217011,0.0023197156315387757,"[-0.00468765 -0.00459574 -0.00450833 -0.00442512 -0.00434561 -0.00419692
 -0.00399592]","[0.00186192 0.00180049 0.0017433  0.00168978 0.00163969 0.00154846
 0.0014302 ]",0.0007153301962912531,0.019101307448002886,0.0006254058105263266,0.01906671568503039,0.05444731550506248,0.06499606593211718,78.84603525625931,38.516187219032396,0.12258947353062633,0.03065831450462881,0.0077958836147941826,0.0066054910070978525,0.00021579123158863974,0.00023378709768226045,0.00042936829115291337,0.00046047526426364424,0.0006406347143017275,0.0006806466220057137,0.0008495409018893735,0.0008948126582211856,0.0010559902100597412,0.001103375482026814,0.0014615542728586648,0.0015053221741789474,0.00205111813229581,0.0020748302758537705,0.004688021160001607,0.001860991710441068,0.009192179010059255,0.0035991799629099784,0.013525996497467281,0.005227273999757452,0.017701801444713932,0.006755690806568629,0.021729598176408658,0.008194303853877163,0.029380486535827553,0.01083375130410465,0.03996170879301152,0.014294860875453322
0.4,0.507426354766485,0.15837081217048354,0.31730779406931753,0.24467654767220812,0.017261578088363472,0.021262116285789414,0.017406145476562752,0.01755422936055253,0.017690130019065716,0.017814429646930224,0.017927369542090572,0.018125655353192816,0.01836314582116941,0.020922355635724733,0.020550458909693547,0.02020003020668764,0.019868612251338225,0.019554705169885202,0.018972772168638016,0.018196221176509826,0.0009570003446024091,0.003092558281277006,"[-0.00596827 -0.00583771 -0.0057146  -0.00559833 -0.0054883  -0.00528448
 -0.00501318]","[0.00296234 0.00286025 0.00276574 0.00267792 0.00259612 0.00244787
 0.00225686]",0.0011172249655183452,0.024657546102085835,0.0009726569683631034,0.024642586162827385,0.07307688237227292,0.09787061906888318,78.63249672343431,43.498052919503664,0.14876205888001964,0.04905246382810603,0.012018577783118286,0.012039762909037278,0.0003261579934479207,0.00044752648460411287,0.0006520828675694494,0.0008786030369671688,0.0009771657603278446,0.0012948410863137104,0.0013010127903436797,0.0016975704601461276,0.00162331583238756,0.0020881180433245288,0.0022619596839623564,0.002835948806323222,0.0032023407311616843,0.003886738157299823,0.005970207491349459,0.002958431271112612,0.011679133223905165,0.005712905695987121,0.017149133388806977,0.008286187393173897,0.022400123962589225,0.010697433882405285,0.02744965453230711,0.01296337792143111,0.037001858890534076,0.017112493845585598,0.05014488157068884,0.022539513739119867
0.6,0.49792303510367886,0.15968498925396923,0.29701126574192926,0.27471424889341634,0.01939992554731204,0.025991721609677648,0.01964717660814626,0.019893395749135574,0.02011756505708788,0.020321196764695567,0.020506905038055852,0.020831395954387148,0.021221408846364906,0.02545857378035464,0.024893335876812982,0.024368100798687464,0.023878444328326483,0.02341929813538533,0.022582594109042037,0.021492229849517472,0.0015742322382192424,0.0044093327838291285,"[-0.00801298 -0.00780652 -0.00761476 -0.0074361  -0.00726909 -0.00696509
 -0.00656997]","[0.0052849  0.00508694 0.00490605 0.00473959 0.00458584 0.0043106
 0.00396091]",0.0018494359065700317,0.03445741901594562,0.0016021841856863645,0.03448041675205503,0.1217932405548425,0.1648285493360498,75.0242250207874,48.838088692162884,0.191428775820302,0.08775165701294516,0.023136931058257537,0.026730660713689177,0.0005754697935889673,0.0010560956719065002,0.0011601448376175921,0.002062424469051474,0.0017512226250172944,0.0030250486249638418,0.0023467312110062913,0.003949140517071516,0.002945051389848962,0.004838683441195098,0.0041447231138173075,0.006527465947688458,0.005938928139060138,0.008871559699076187,0.00802350485457234,0.005268904542485743,0.015633162294894448,0.010142934068653242,0.02287312830100566,0.014673306366439938,0.0297811102112348,0.018900637975929557,0.03638926874903473,0.022859560443260703,0.04881143414291746,0.03008383768641761,0.06576841507352497,0.03949488551592621
0.7,0.4990583330868845,0.15892148645698537,0.29464570152478764,0.28545909430922695,0.019694107781313128,0.02767818818555522,0.019992550544916356,0.020287624454547334,0.020555025090698613,0.020798331113030904,0.021019820570933084,0.02140603633433691,0.021871699846113046,0.027052257568920903,0.026394690824330356,0.02578739206004827,0.025223297434612452,0.02469752255989356,0.02374390025842455,0.022512364287416823,0.0018791493011956215,0.0050015575421048855,"[-0.00898853 -0.00874046 -0.00851142 -0.00829912 -0.00810143 -0.00774402
 -0.0072831 ]","[0.00641511 0.00616596 0.00593938 0.00573197 0.00554123 0.005201
 0.00477251]",0.002211732484039307,0.03909901620906751,0.0019132901072444269,0.03914252522532623,0.14374800893264858,0.1998213660164588,74.60368027107339,50.74828343275141,0.21122999431096506,0.1068836330564982,0.029562084430059258,0.036111354496518235,0.0007063043185250628,0.0014549623706557355,0.001429212428397902,0.002835098510468548,0.0021641491608091986,0.004150358454430923,0.002907417601790917,0.005408804867424738,0.0036566295436316794,0.006616774273985296,0.005165008567638791,0.008901964738147701,0.007427936853909153,0.012058511151783484,0.009004748682790343,0.006392326643337231,0.017511870743077043,0.012287938176115516,0.025578543878348504,0.01775450103472882,0.03325279295526328,0.02284612016842067,0.0405742946541231,0.0276077726062044,0.0542933228005977,0.03627988706849176,0.07293500121487931,0.047566020110024476
0.8,0.49537103048801173,0.16012138995717887,0.28998378587596846,0.294037713896034,0.02001110822560651,0.029209167878171894,0.020360712191886645,0.020703132260418276,0.0210133897118415,0.021295032806780433,0.021550788582692354,0.021997464832820474,0.02253325159458238,0.028488020267680894,0.027736854771643234,0.027045933911468124,0.026408233742129666,0.02581569383180816,0.024747536687597042,0.023379013234159682,0.002172826274994338,0.005585513782772787,"[-0.00985971 -0.00956963 -0.00930328 -0.00905687 -0.0088291  -0.00841882
 -0.00789419]","[0.00757821 0.00727254 0.00699601 0.00674392 0.00651312 0.00610378
 0.00559097]",0.0025629119061752843,0.04342537733774967,0.0022133115355107468,0.04348983640959544,0.16801297129922557,0.2352301711168275,73.77489526683881,52.273371359294956,0.22840260815822497,0.12633142464181066,0.03647541687415284,0.046580368412297804,0.0008401037938798526,0.0019118048726359292,0.0017060736388401034,0.003717120958135163,0.002590756683379438,0.0054311812019725144,0.0034882430619629884,0.007065225546584008,0.004395444316806547,0.008630162497184464,0.006225071243948149,0.01157891613388529,0.00897827849814304,0.01563261207010055,0.009882424082074922,0.007548562475223864,0.019182555162094692,0.014487925639454897,0.027971722872890216,0.020905490734207378,0.03630603183669819,0.026869849486306805,0.04423893197446294,0.03243851177897098,0.05904980900796812,0.04256314189216426,0.07908504593983065,0.05570697604005131
0.5,0.5040376527825848,0.15910654605366714,0.30772135156260944,0.26227380278225704,0.018388758189961465,0.023955921868233816,0.01858767696556957,0.018788325274071097,0.0189713359177527,0.019138188551585982,0.01929092756309389,0.019557976171473042,0.01987735762486293,0.023517533419332978,0.023046554767919697,0.02260563428389951,0.0221922729219191,0.02180310412600734,0.021087300094435203,0.02014536614994566,0.0012896806592936712,0.0037878095903641526,"[-0.00705269 -0.00688362 -0.00672561 -0.00657745 -0.00643801 -0.00618252
 -0.00584695]","[0.00412481 0.00397637 0.00383972 0.00371347 0.00359633 0.0033854
 0.00311572]",0.0015129655989942008,0.029776453822351293,0.0013140466671182796,0.029780789870630927,0.09613932421869527,0.13113690139112852,76.92824027779723,46.62645382795675,0.1712023333058144,0.0683427549776739,0.017083900407503072,0.018747487689547856,0.00044233539341209796,0.0007213416785955379,0.0008884116917241546,0.0014122002004181631,0.0013368635808194388,0.0020760107415560354,0.0017865310846967577,0.0027155396972351055,0.002236442510525898,0.003333140993565237,0.003134759931657713,0.004510619805964003,0.004470693804356502,0.006154351544885717,0.00705816792973718,0.004115430170333867,0.013777713376518227,0.00793458301150659,0.020191853415126845,0.011492778269711658,0.02632896390559072,0.014819873067129187,0.032212994135189583,0.01794053213802468,0.043306968411416555,0.02364420486245034,0.05850588093412298,0.03108884147339057
0.0,0.5002717210595404,0.15867323314297418,0.3343870409762582,0.0992150951261463,0.011697768018617234,0.005176160809812722,0.011699546992259877,0.011698658095362954,0.011697224681177622,0.011695419732663793,0.011693113933111145,0.011687529853285545,0.011678166175700905,0.005059102125344787,0.004959528032767535,0.004865570659086548,0.004776915345634054,0.004693539489816053,0.004540655661854042,0.004344431954770612,-2.1380816557966705e-05,0.001204421629213997,"[0.00141377 0.00136649 0.00132074 0.00127644 0.00123356 0.00115181
 0.00103855]","[0.00029883 0.00028589 0.00027361 0.00026197 0.0002509  0.00023032
 0.00020289]",-1.404968568831988e-05,0.0052803575101791865,-1.5829044524790007e-05,0.005114384027358904,0.0,0.0,81.66880728466809,17.638239133537116,0.0330000000000003,2.9837246273238374e-16,0.001089000000000006,5.854692219312763e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001413771601674124,0.0002988302584110311,0.002732988325733528,0.0005717707790155135,0.003962205498103243,0.0008208395550717345,0.0051057685887171056,0.0010478611773594923,0.0061677882250328825,0.001254477545127585,0.008062648206998493,0.0016122634892539024,0.010385510603867575,0.002028920430437305
0.9,0.5019527900194642,0.15951318374632145,0.2945886488193357,0.30419727416995895,0.019731348385534277,0.0306232565000882,0.020136226015680953,0.020531790546133084,0.02088874485569211,0.021212969213864764,0.021506517263069194,0.022018640305183988,0.02263428413291138,0.02980977219911203,0.02896868108920817,0.02819767911427161,0.027488581982487933,0.026831901387809567,0.025653220824919047,0.024152076945651822,0.002498058117229769,0.006139796673859359,"[-0.01073917 -0.01040452 -0.01009895 -0.0098174  -0.00955779 -0.00909261
 -0.00850259]","[0.00863313 0.0082735  0.00794929 0.00765493 0.00738636 0.00691169
 0.00632183]",0.0029488769337402353,0.047673870328930994,0.002543998247761744,0.047760086817245355,0.18487021606259785,0.2737775467529631,74.5935375678819,54.0795154079927,0.24582400367600526,0.14446935065641156,0.043327668212963834,0.058732140520092325,0.0009393812966230432,0.0024314512810338414,0.0019182924826730955,0.004718390125669517,0.0029264843627233405,0.006882921599345779,0.003955362602101672,0.00894080104262962,0.004999867601821969,0.010906684556203155,0.007116368349932338,0.014600223617054492,0.01031788299821856,0.0196606113968881,0.010767667625799157,0.008597556978944727,0.020863261717280618,0.01647859799796968,0.030374163325145084,0.02374931480117643,0.03936754090172761,0.030493728617864233,0.04790517843849319,0.036780866731106567,0.06379458480196841,0.04818870328281139,0.0852018840318049,0.06298087795221788
